"Address Line 1","Address Line 2","Email Address","Office Number","Name","Office Phone","Postal Code","Modification Date"
"BOX 6719","DRAYTON VALLEY, AB","dave.mckeeman@housemaster.com",273,"HOUSE MASTER HOME INSPECTION SERVICES","780-696-2200","T7A 1S1","2008-10-21 13:29:01.30809"
"BOX 262","CASTOR, ALBERTA","dale@fchuntagencies.com",276,"FC HUNT AGENCIES 1984 LTD.","403-882-3202","T0C 0X0","2008-11-20 08:14:54.751804"
,,,212,"NONMEMBER",,,"2007-11-02 10:14:12.423327"
"2, 5511 - GAETZ AVENUE","RED DEER, AB","mortcent@telusplanet.net",203,"THE MORTGAGE CENTRE","403-346-5410","T4N 4B8","2007-11-02 10:14:12.423327"
"210, 5028 - 50A STREET","SYLVAN LAKE, AB","cmackie@waters-mackie.ca",235,"WATERS MACKIE VALUATIONS INC.","403-887-8743","T4S 2N5","2007-11-02 10:14:12.423327"
"#102, 5229 - 50 AVE","RED DEER, ALBERTA",,169,"REGIONAL MORTGAGE CORPORATION","403-343-1125","T4N 4B4","2007-11-02 10:14:12.423327"
"D201, 5212 - 48 STREET","RED DEER, ALBERTA","ralph@ralphsalomons.com",177,"RALPH SALOMONS COMMERCIAL INC","403-343-3023","T4N 7C3","2007-11-02 10:14:12.423327"
"4530 - 54 AVENUE","OLDS, ALBERTA","buy@widmerrealty.com",179,"WIDMER REALTY LTD.","403-556-4050","T4H 1B8","2007-11-02 10:14:12.423327"
"38106 RGE. RD. 275","RED DEER COUNTY, ALBERTA",,186,"RED DEER COUNTY","403-350-2166","T4S 2L9","2007-11-02 10:14:12.423327"
"300 MANNING ROAD N.E.","CALGARY, AB",,191,"CALGARY REAL ESTATE BOARD","403-263-0530","T2E 8K4","2007-11-02 10:14:12.423327"
,,,208,"CREB RECIPROCITY MEMBERS","403-263-0530",,"2009-09-10 13:24:29.216062"
"4917 - 50 STREET BOX 932","STETTLER, AB","arealtor@telus.net",207,"MAXWELL RESULTS REALTY","403-742-4253","T0C 2L0","2009-09-15 11:31:14.494814"
"3633 - 41 Avenue","RED DEER, AB",,189,"BRAEMAR VALUATION SERVICE","403-342-6068","T4N 2X7","2010-01-07 07:31:50.926136"
"Box 1421 4913 - 51 STREET","STETTLER, AB","jamesdadensky@remax.net",181,"RE/MAX 1ST CHOICE REALTY","403-742-6747","T0C 2L0","2011-07-19 15:02:48.034743"
"101, 4911 - 51 STREET","RED DEER, ALBERTA","info@ThePropertyShop.ca",275,"THE PROPERTY SHOP INC.","403-346-6970","T4N 6V4","2011-11-10 12:45:02.376874"
"RR1, SITE 9, BOX 2","BLACKFALDS, AB","hssinspect@telus.net",272,"HOME SAFE N SOUND INSPECTIONS LTD.","403-391-3862","T0M 0J0","2011-09-28 07:33:30.053111"
"4802 50 AVENUE","CAMROSE, ALBERTA","altario@cable-lynx.net",225,"ALTARIO APPRAISAL CO. LTD","780-672-1028","T4V 0R9","2011-12-20 09:14:45.080777"
"4819 B - 48 AVENUE","RED DEER, AB.","simco@telusplanet.net",122,"PRUDENTIAL SIM REALTY","403-340-0065","T4N 3T2","2010-11-03 07:17:38.702834"
"34 ELDRIDGE CRESCENT","RED DEER, AB","weinsworld@shaw.ca",112,"WEINS WORLD REAL ESTATE INC.","403-343-8611","T4R 2C9","2010-02-23 13:38:23.557423"
"4701 - 50 STREET/BOX 1974","STETTLER, AB.","central@royallepage.ca",110,"ROYAL LEPAGE CENTRAL","403-742-3344","T0C 2L0","2010-11-03 13:49:51.518664"
"101, 4406-50 AVE.","RED DEER, AB","patrician@royallepage.ca",36,"ROYAL LEPAGE PATRICIAN","403-342-0272","T4N 3Z6","2008-11-12 10:13:01.432691"
"BOX 304","RIMBEY, AB","srehough@telusplanet.net",21,"SHIRLEY'S REAL ESTATE","403-843-2217","T0C 2J0","2007-11-02 10:14:12.423327"
"4440-49 AVE.","RED DEER, AB",,37,"RE/MAX REAL ESTATE CENTRAL ALB","403-343-3020","T4N 3W6","2007-11-02 10:14:12.423327"
"101 MAIN AVE. BOX 1428","SUNDRE, AB.","info@c21altawest.ca",88,"CENTURY 21 ALTA WEST REALTY","403-638-4800","T0M 1X0","2010-07-05 11:46:07.169247"
"207, 5015 - 50 Avenue","CAMROSE, AB",,216,"MID CITY PROPERTY MANAGEMENT","780-672-0662","T4V 3P7","2010-04-12 13:15:05.81056"
"5118 - 50 STREET BOX 4248","PONOKA, AB","sdlow@telusplanet.net",13,"JOHN LOW AGENCIES","403-783-5512","T4J 1R6","2007-11-02 10:14:12.423327"
"B102, 403 - 5212 48 STREET","RED DEER, ALBERTA","argood@telus.net",219,"ARGOOD INSPECTIONS","403-341-6790","T4N 7C3","2007-11-02 10:14:12.423327"
"123 Main St.",,"office@test.com",220,"TEST OFFICE",,"V8V 3N8","2007-11-02 10:14:12.423327"
"#1, 5265-45 STREET","LACOMBE, AB",,23,"RE/MAX REAL ESTATE CENTRAL AB.","403-782-4301","T4L 2A2","2007-11-02 10:14:12.423327"
"2ND FLOOR, 5114 - 58 STREET","RED DEER, AB","mail@howardandcompany.com",236,"HOWARD AND COMPANY","403-343-7000","T4N 2L8","2007-11-02 10:14:12.423327"
"BOX 10, SITE 17, RR#2","RED DEER, AB","clmajak@platinum.ca",193,"IMPERIAL LAND SERVICES INC.","403-346-4438","T4N 5E2","2007-11-02 10:14:12.423327"
"4926 - 50 AVENUE","SYLVAN LAKE, AB","tsl@sylvanlake.ca",237,"TOWN OF SYLVAN LAKE","403-887-2141","T4S 1A1","2007-11-02 10:14:12.423327"
"403 - 4 STREET S.E.","MEDICINE HAT, AB",,239,"MEDICINE HAT REAL ESTATE BOARD","403-526-2879","T1A 0K5","2007-11-02 10:14:12.423327"
"BOX 808","STETTLER, AB","candorltd@aol.com",8,"CENTURY 21 CANDOR REALTY LTD.","403-742-4424","T0C 2L0","2010-01-22 09:38:47.35441"
"#115, 4501 - 55 STREET","PONOKA, ALBERTA","sandralyon@telus.net",226,"FIRST CHOICE REALTY (PONOKA)","403-783-8881","T4J 1R7","2010-05-05 14:14:56.147802"
"1408, TWNSHIP RD 320","DIDSBURY, ALBERTA","Eloise.Comrie@mountainviewcounty.com",214,"MOUNTAIN VIEW COUNTY","403-335-3311","T0M 0W0","2010-12-14 14:55:19.816896"
"6022 - 48 AVENUE","CAMROSE, AB","dbowal@telusplanet.net",233,"RE/MAX REAL ESTATE CAMROSE","780-672-7474","T4V 0K3","2009-05-28 09:20:44.909557"
"4340-47 AVENUE","ROCKY MOUNTAIN HOUSE, AB","dcrout@county.clearwater.ab.ca",240,"CLEARWATER COUNTY","403-845-4444","T4T 1A4","2007-11-02 10:14:12.423327"
"BOX 961","RIMBEY, AB","ppoulsen@albertahighspeed.net",154,"PLATINUM REALTY","403-357-7344","T0C 2J0","2007-11-02 10:14:12.423327"
"601, 4901 - 48 ST.","RED DEER, AB",,170,"SERVUS CREDIT UNION LTD.","403-343-0144","T4N 6M4","2008-11-03 11:20:16.387081"
"4915-50 ST. BOX 1806","ROCKY MOUNTAIN HOUSE, AB","c21terri@telusplanet.net",80,"CENTURY 21 WESTCOUNTRY REALTY LTD.","403-845-7772","T4T 1B4","2011-07-08 14:00:28.558989"
"522 - 6TH STREET SOUTH","LETHBRIDGE, AB",,238,"LETHBRIDGE REAL ESTATE BOARD","403-328-8838","T1J 2E2","2011-07-26 11:27:55.884627"
"RR 2 SITE 17 BOX 9","RED DEER, AB","theelen@xplornet.com",232,"JAC THEELEN REALTY LTD.","403-318-2252","T4N 5E2","2007-11-07 10:10:35.922598"
"4802 - 49 STREET","CAMROSE, AB","coldwell@cable-lynx.net",234,"COLDWELL BANKER BATTLE RIVER","780-672-7761","T4V 1M9","2007-11-14 08:36:01.666622"
"RR4","RED DEER, AB","ajlapointe@yahoo.ca",250,"HOME PROBE ALBERTA LTD.","403-318-9181","T4N 5E4","2007-11-28 15:54:02.070429"
"#600, 10665 JASPAR AVENUE","EDMONTON, AB","bsimpson@serecon.ca",251,"SERECON VALUATION & AGRICULTURAL CONSULT","780-448-7440","T5J 3S9","2007-12-14 08:29:00.457274"
"#1, 4914 50 AVENUE","SYLVAN LAKE, AB","rx.sylvan@shawcable.com",14,"RE/MAX REAL ESTATE CENTRAL AB.","403-887-2217","T4S 1C9","2008-02-07 09:13:49.779447"
"RR#4, SITE 130, BOX 17","ROCKY MOUNTAIN HOUSE, AB","bob@robertjohnsoncra.com",242,"BENCHMARK REAL EST. APPRAISALS","403-844-9006","T4T 2A4","2009-04-06 08:34:35.924633"
"4870 - 51 STREET","CAMROSE, AB","nmayer@centralagencies.com",158,"CENTRAL AGENCIES INC.","780-672-4495","T4V 1S1","2010-07-23 10:56:04.214445"
"4914 - 48 AVE.","RED DEER, AB.","brian.lutz@reddeer.ca",127,"CITY OF RED DEER","403-342-8281","T4N 3T3","2010-07-22 10:37:50.676751"
"#16, 4303 - 50 ST.","INNISFAIL, AB","info@suncountryrealty.ca",22,"RE/MAX SUN COUNTRY REALTY","403-227-5571","T4G 1B6","2010-09-14 09:02:34.921584"
"173-28342 TWP RD 384","RED DEER COUNTY, AB","parklandvaluations@shaw.ca",188,"PARKLAND VALUATIONS INC.","403-350-9421","T4S 2B6","2008-03-11 07:50:26.758311"
"4632 - 62 ST.","RED DEER, AB","smithdow@hotmail.com",159,"NATIONAL BUILDING INSPECTIONS","403-340-8603","T4N 6T3","2008-04-04 14:12:42.262337"
"P.O. BOX 155","RED DEER, AB.","doug.macdonald@pillartopost.com",141,"PILLAR TO POST","403-343-9406","T4N 5E8","2008-04-04 14:13:16.597232"
"4227 - 43A Avenue","Red Deer, Alberta","red.deer@homealyze.com",182,"HOME-ALYZE","403-348-5550","T4N 3G6","2008-04-07 09:33:13.662307"
"BOX 997","BROOKS, AB",,262,"BROOKS REAL ESTATE BOARD","403-362-4643","T1R 1B8","2008-04-08 14:01:16.204921"
"5318 - 42 AVENUE","RED DEER, AB","tsauser@cenalta-appraisals.ca",257,"CENALTA APPRAISALS LTD.","403-341-6405","T4N 3A4","2008-05-14 10:37:01.013961"
"#1, 4920 - 45 AVENUE BOX 12030","SYLVAN LAKE, AB","theresa.strasser@century21.ca",180,"CENTURY 21 GLOBAL REAL ESTATE INC.","403-887-7720","T4S 2K9","2011-02-16 10:39:58.63835"
