#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-08-27 00:35:38
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-08-27 00:35:38 W3SVC60 208.123.218.206 POST /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/534.48.3+(KHTML,+like+Gecko)+Version/5.1+Safari/534.48.3 200 0 0
2011-08-27 00:36:31 W3SVC60 208.123.218.206 GET /GP_city7/style.css - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 304 0 0
2011-08-27 00:36:31 W3SVC60 208.123.218.206 GET /GP_city7/map20a.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:36:31 W3SVC60 208.123.218.206 GET /GP_city7/images/test.png - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 304 0 0
2011-08-27 00:36:31 W3SVC60 208.123.218.206 GET /GP_city7/map20a.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:36:32 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
2011-08-27 00:36:39 W3SVC60 208.123.218.206 GET /edituser.php id= 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 302 0 0
2011-08-27 00:36:39 W3SVC60 208.123.218.206 GET /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:36:39 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
2011-08-27 00:36:45 W3SVC60 208.123.218.206 POST /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:36:45 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
