#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 10:35:40
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 10:35:40 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.17.166 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10.5;+en-US;+rv:1.9.2.13)+Gecko/20101203+Firefox/3.6.13+GTB7.1 200 0 64
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 14:58:47
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /traffic.php - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 302 0 64
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /login.php - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/loginblurb.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/new_login.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/login_blurb.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/emailimg.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/loginbg.jpg - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/passwordimg.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:46 W3SVC60 208.123.218.206 GET /images/myrealtornow_gp_title.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:47 W3SVC60 208.123.218.206 GET /images/county_btn.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
2011-12-20 14:58:47 W3SVC60 208.123.218.206 GET /images/city_btn.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/535.7+(KHTML,+like+Gecko)+Chrome/16.0.912.63+Safari/535.7 200 0 0
