#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 21:27:12
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.73.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /images/upload2.png - 80 - 66.249.73.154 Googlebot-Image/1.0 304 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 22:02:50
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /login.php - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/emailimg.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/passwordimg.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/loginblurb.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/login_blurb.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/loginbg.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/myrealtornow_gp_title.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/county_btn.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/city_btn.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 404 0 2
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 404 0 2
2013-01-18 22:02:49 W3SVC60 208.123.218.206 GET /images/new_login.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 POST /login.php - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 302 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /js/fancyzoom.js - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /images/jquery.fancybox-1.3.4.css - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /js/jquery.fancybox-1.3.4.js - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /GP_city7/style.css - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
