#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-10-01 09:50:11
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-10-01 09:50:11 W3SVC60 208.123.218.206 GET /login.php - 80 - 5.9.189.39 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-10-01 17:32:24
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /login.php - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/emailimg.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/loginblurb.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/login_blurb.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/passwordimg.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/myrealtornow_gp_title.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/loginbg.jpg - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:24 W3SVC60 208.123.218.206 GET /images/new_login.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:25 W3SVC60 208.123.218.206 GET /images/county_btn.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:25 W3SVC60 208.123.218.206 GET /images/city_btn.png - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 200 0 0
2013-10-01 17:32:25 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 404 0 2
2013-10-01 17:32:25 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.173.246 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:24.0)+Gecko/20100101+Firefox/24.0 404 0 2
