#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-09-05 10:10:47
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-09-05 10:10:47 W3SVC60 208.123.218.206 GET /login.php - 80 - 193.110.73.2 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:23.0)+Gecko/20100101+Firefox/23.0 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-09-05 18:01:48
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-09-05 18:01:48 W3SVC60 208.123.218.206 GET /login.php - 80 - 91.250.15.69 Mozilla/5.1+(compatible;+DBot/7.0;++http://getdownload.ws) 200 0 0
2014-09-05 18:01:48 W3SVC60 208.123.218.206 GET /login.php - 80 - 91.250.15.69 Mozilla/5.1+(compatible;+DBot/7.0;++http://getdownload.ws) 200 0 64
2014-09-05 18:01:48 W3SVC60 208.123.218.206 GET /login.php - 80 - 91.250.15.69 Mozilla/5.1+(compatible;+DBot/7.0;++http://getdownload.ws) 200 0 64
2014-09-05 18:01:49 W3SVC60 208.123.218.206 GET /login.php - 80 - 91.250.15.69 Mozilla/5.1+(compatible;+DBot/7.0;++http://getdownload.ws) 200 0 64
2014-09-05 18:01:49 W3SVC60 208.123.218.206 GET /login.php - 80 - 91.250.15.69 Mozilla/5.1+(compatible;+DBot/7.0;++http://getdownload.ws) 200 0 64
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-09-05 18:17:23
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-09-05 18:17:23 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.79.146 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2014-09-05 18:17:23 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.79.138 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
2014-09-05 18:23:27 W3SVC60 208.123.218.206 GET /register.php - 80 - 66.249.79.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-09-05 19:09:17
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-09-05 19:09:16 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 192.99.39.69 Mozilla/5.0+(compatible;+meanpathbot/1.0;++http://www.meanpath.com/meanpathbot.html) 404 0 2
2014-09-05 19:09:16 W3SVC60 208.123.218.206 GET /login.php - 80 - 192.99.39.69 Mozilla/5.0+(compatible;+meanpathbot/1.0;++http://www.meanpath.com/meanpathbot.html) 200 0 0
2014-09-05 19:16:11 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.79.53 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2014-09-05 19:16:11 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.79.45 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-09-05 23:04:14
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-09-05 23:04:14 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.79.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
