#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-11-27 07:05:26
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2014-11-27 07:05:26 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 404 0 2
2014-11-27 07:06:01 W3SVC60 208.123.218.206 GET /gp_city7/map20a,php - 80 - 103.27.162.199 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_9_4)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/38.0.2125.122+Safari/537.36 404 0 2
2014-11-27 07:06:02 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 103.27.162.199 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_9_4)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/38.0.2125.122+Safari/537.36 404 0 2
2014-11-27 07:06:24 W3SVC60 208.123.218.206 GET /getsdivision.php id=1 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/387451_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/406178_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/406172_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/406175_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/404659_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/390481_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
2014-11-27 07:06:28 W3SVC60 208.123.218.206 GET /images/323024_1_sm4.jpg - 80 - 103.27.162.199 Mozilla/5.0+(iPad;+CPU+OS+6_1_3+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+CriOS/36.0.1985.49+Mobile/10B329+Safari/8536.25 200 0 0
