#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-02-13 01:54:58
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-02-13 01:54:57 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.75.30 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2015-02-13 01:54:58 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.75.238 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_0+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10A5376e+Safari/8536.25+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-02-13 06:06:50
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-02-13 06:06:50 W3SVC60 208.123.218.206 HEAD /login.php - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 200 0 0
2015-02-13 06:06:50 W3SVC60 208.123.218.206 HEAD /wp-login.php - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 0
2015-02-13 06:06:50 W3SVC60 208.123.218.206 GET /wp-login.php - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 0
2015-02-13 06:06:51 W3SVC60 208.123.218.206 HEAD /administrator/index.php - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 0
2015-02-13 06:06:51 W3SVC60 208.123.218.206 GET /administrator/index.php - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 0
2015-02-13 06:06:51 W3SVC60 208.123.218.206 HEAD /admin/mysql/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 GET /admin/mysql/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 HEAD /admin/phpmyadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 GET /admin/phpmyadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 HEAD /admin/pma/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 GET /admin/pma/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:52 W3SVC60 208.123.218.206 HEAD /db/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 GET /db/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 HEAD /pma/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 GET /pma/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 HEAD /dbadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 GET /dbadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:53 W3SVC60 208.123.218.206 HEAD /myadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 GET /myadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 HEAD /mysql/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 GET /mysql/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 HEAD /mysqladmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 GET /mysqladmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:54 W3SVC60 208.123.218.206 HEAD /mysql-admin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 GET /mysql-admin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 HEAD /phpm/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 GET /phpm/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 HEAD /phpmy/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 GET /phpmy/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:56 W3SVC60 208.123.218.206 HEAD /phpMyA/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 GET /phpMyA/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 HEAD /phpmyad/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 GET /phpmyad/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 HEAD /phpMyAdmi/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 GET /phpMyAdmi/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:57 W3SVC60 208.123.218.206 HEAD /phpmyadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 GET /phpmyadmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 HEAD /phpMyAds/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 GET /phpMyAds/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 HEAD /phpmyad-sys/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 GET /phpmyad-sys/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:58 W3SVC60 208.123.218.206 HEAD /web/phpMyAdmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:59 W3SVC60 208.123.218.206 GET /web/phpMyAdmin/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 3
2015-02-13 06:06:59 W3SVC60 208.123.218.206 HEAD /installer/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
2015-02-13 06:06:59 W3SVC60 208.123.218.206 GET /installer/ - 80 - 91.207.7.14 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 404 0 2
