#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-07-03 00:03:24
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-07-03 00:03:24 W3SVC60 208.123.218.206 GET /wp-login.php - 80 - 207.167.196.33 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/36.0.1985.125+Safari/537.36 404 0 0
2015-07-03 00:03:24 W3SVC60 208.123.218.206 GET /administrator/index.php - 80 - 207.167.196.33 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/36.0.1985.125+Safari/537.36 404 0 0
2015-07-03 00:03:24 W3SVC60 208.123.218.206 GET /admin.php - 80 - 207.167.196.33 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/36.0.1985.125+Safari/537.36 404 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-07-03 03:01:04
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-07-03 03:01:04 W3SVC60 208.123.218.206 GET /wp-login.php - 80 - 209.159.146.250 Opera/9.80+(Windows+NT+5.1;+U;+ru)+Presto/2.9.168+Version/11.50 404 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-07-03 22:26:35
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-07-03 22:26:34 W3SVC60 208.123.218.206 GET /login.php - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:34 W3SVC60 208.123.218.206 GET /images/loginblurb.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:34 W3SVC60 208.123.218.206 GET /images/login_blurb.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/emailimg.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/passwordimg.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/myrealtornow_gp_title.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/county_btn.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/city_btn.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/loginbg.jpg - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:35 W3SVC60 208.123.218.206 GET /images/new_login.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:26:37 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 404 0 2
2015-07-03 22:26:37 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 404 0 2
2015-07-03 22:28:28 W3SVC60 208.123.218.206 POST /login.php - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:28:28 W3SVC60 208.123.218.206 GET /images/failed.png - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:28:31 W3SVC60 208.123.218.206 POST /login.php - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
2015-07-03 22:28:40 W3SVC60 208.123.218.206 POST /login.php - 80 - 70.74.173.246 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.10;+rv:38.0)+Gecko/20100101+Firefox/38.0 200 0 0
